name,uuid,path,hash
Cisco | IOS | disable_cdp,80276b39-2f50-4d89-bb9c-889065486c66,Cisco/IOS/disable_cdp.json,242841dfd94f3b067cd28aee179de8a72f6de0a67b531bb555d573be93cd53cb
Cisco | IOS | enable_cdp,a446d920-e9ca-4415-b5a5-2207f33af5f7,Cisco/IOS/enable_cdp.json,4013d01ef0a2c9c75261d19755d8334e6f7aa43135598c9adbbe199caebc620d
Cisco | IOS | ping,5cbc49be-9bde-440a-a909-95c92411101d,Cisco/IOS/ping.json,39e77120cf24b0d3108843d9f21dcda5fb942f8b31ce536e6bb0e0ad68d8a1ff
Cisco | IOS | reboot,50a46974-cac5-444f-b371-3860706c77b0,Cisco/IOS/reboot.json,863b05c8fd0a79de92a4992845cdfb7dcc79d7f65b6c34fcd620e71717d1e1f2
Cisco | IOS | set_interface_description,248f86b8-9576-4ce8-b30b-d1b398f6f882,Cisco/IOS/set_interface_description.json,f80fb09b381471b27df4219734980a80a83b089dac5dbba30296c4ab6a3b8062
Juniper | JUNOS | reboot,6e88b42f-3813-4424-9e0b-5822b799606d,Juniper/JUNOS/reboot.json,8b5afca348d7356d9f4a6ad7e7ae7ecef2f36ee7bb349e7d1167c3712654a1c8
MikroTik | RouterOS | ping,ea73dc9f-c499-4513-b8a7-2d668d28e012,MikroTik/RouterOS/ping.json,a8f0207b292687f96acf0cfe4c04fab4e85f27ef403ec98b79b0f05d41fa6563
MikroTik | RouterOS | reboot,9097471e-f233-4981-8e87-eed887004025,MikroTik/RouterOS/reboot.json,aa80ef97e5fd7fa14fef9f963fe8284444bc5d30ea540169e18ac58b87fb3c7c
